縣市 ,測站名稱 ,空氣污染指標 ,指標污染物, 狀態 ,二氧化硫濃度 ,一氧化碳濃度 ,臭氧濃度 ,懸浮微粒濃度 ,細懸浮微粒濃度 ,二氧化氮濃度 ,細懸浮微粒指標 ,氮氧化物 ,一氧化氮 ,發佈時間
南投縣,埔里,39,,良好,1.2,0.15,23,115,9,3.7,1,4.38,.64,2017-04-22 05:00
南投縣,竹山,32,,良好,1.5,0.27,39,22,10,8.3,2,10.17,1.89,2017-04-22 06:00
南投縣,南投,33,,良好,1.8,0.22,39,22,6,7.5,2,8.59,1.08,2017-04-22 06:00
南投縣,埔里,62,懸浮微粒,普通,0.9,0.18,23,178,6,3.3,1,4.04,.75,2017-04-22 06:00
南投縣,竹山,32,,良好,1.5,0.27,39,22,10,8.3,2,10.17,1.89,2017-04-22 06:00
南投縣,南投,33,,良好,1.8,0.22,39,22,6,7.5,2,8.59,1.08,2017-04-22 06:00
南投縣,埔里,62,懸浮微粒,普通,0.9,0.18,23,178,6,3.3,1,4.04,.75,2017-04-22 06:00
南投縣,竹山,29,,良好,1.5,0.24,35,23,10,13,2,14.3,1.67,2017-04-22 08:00
南投縣,南投,31,,良好,2.3,0.36,37,21,11,15,1,16.88,2.34,2017-04-22 08:00
南投縣,埔里,59,懸浮微粒,普通,1.3,0.32,24,30,6,7.9,1,8.99,1.08,2017-04-22 08:00
南投縣,竹山,32,,良好,1.5,0.29,38,23,9,12,1,14.78,2.33,2017-04-22 09:00
南投縣,南投,31,,良好,2,0.38,37,24,16,14,1,16.67,2.38,2017-04-22 09:00
南投縣,埔里,54,懸浮微粒,普通,2.2,0.31,26,31,8,8.2,1,9.91,1.71,2017-04-22 09:00
南投縣,竹山,30,,良好,1.4,0.25,36,24,10,12,1,13.41,1.89,2017-04-22 10:00
南投縣,南投,27,,良好,2.7,0.48,33,26,15,20,2,22.89,3.33,2017-04-22 10:00
南投縣,埔里,39,,良好,1.6,0.27,31,29,11,5.7,1,7.34,1.66,2017-04-22 10:00
